Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Children out of school, primary",SE.PRM.UNER,Ukraine,UKR,123912,129998,144312,166944,182253,199867,279279,297505,306822,318078,311587,309449,299855
"Children out of school, primary",SE.PRM.UNER,Switzerland,CHE,1850,1684,4576,6515,212,59,157,425,629,661,542,713,1236
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,
Last Updated: 10/07/2025,,,,,,,,,,,,,,,,
